,center_point,envelope,Nome_Munic,geometry
483,POINT (-37.815 -7.453),"POLYGON ((-37.839999999999996 -7.478000000000001, -37.79 -7.478000000000001, -37.79 -7.428, -37.839999999999996 -7.428, -37.839999999999996 -7.478000000000001))",Juru,"POLYGON ((-37.839999999999996 -7.428, -37.79 -7.428, -37.79 -7.478000000000001, -37.839999999999996 -7.478000000000001, -37.839999999999996 -7.428))"
484,POINT (-37.815 -7.403),"POLYGON ((-37.839999999999996 -7.428, -37.79 -7.428, -37.79 -7.377999999999999, -37.839999999999996 -7.377999999999999, -37.839999999999996 -7.428))",Juru,"POLYGON ((-37.839999999999996 -7.377999999999999, -37.79 -7.377999999999999, -37.79 -7.428, -37.839999999999996 -7.428, -37.839999999999996 -7.377999999999999))"
485,POINT (-37.815 -7.353),"POLYGON ((-37.839999999999996 -7.378, -37.79 -7.378, -37.79 -7.327999999999999, -37.839999999999996 -7.327999999999999, -37.839999999999996 -7.378))",Olho d'Água,"POLYGON ((-37.839999999999996 -7.327999999999999, -37.79 -7.327999999999999, -37.79 -7.378, -37.839999999999996 -7.378, -37.839999999999996 -7.327999999999999))"
486,POINT (-37.815 -7.303),"POLYGON ((-37.839999999999996 -7.328, -37.79 -7.328, -37.79 -7.278, -37.839999999999996 -7.278, -37.839999999999996 -7.328))",Olho d'Água,"POLYGON ((-37.839999999999996 -7.278, -37.79 -7.278, -37.79 -7.328, -37.839999999999996 -7.328, -37.839999999999996 -7.278))"
487,POINT (-37.815 -7.253),"POLYGON ((-37.839999999999996 -7.2780000000000005, -37.79 -7.2780000000000005, -37.79 -7.228, -37.839999999999996 -7.228, -37.839999999999996 -7.2780000000000005))",Olho d'Água,"POLYGON ((-37.839999999999996 -7.228, -37.79 -7.228, -37.79 -7.2780000000000005, -37.839999999999996 -7.2780000000000005, -37.839999999999996 -7.228))"
488,POINT (-37.815 -7.203),"POLYGON ((-37.839999999999996 -7.228000000000001, -37.79 -7.228000000000001, -37.79 -7.178, -37.839999999999996 -7.178, -37.839999999999996 -7.228000000000001))",Olho d'Água,"POLYGON ((-37.839999999999996 -7.178, -37.79 -7.178, -37.79 -7.228000000000001, -37.839999999999996 -7.228000000000001, -37.839999999999996 -7.178))"
489,POINT (-37.815 -7.153),"POLYGON ((-37.839999999999996 -7.178, -37.79 -7.178, -37.79 -7.127999999999999, -37.839999999999996 -7.127999999999999, -37.839999999999996 -7.178))",Emas,"POLYGON ((-37.839999999999996 -7.127999999999999, -37.79 -7.127999999999999, -37.79 -7.178, -37.839999999999996 -7.178, -37.839999999999996 -7.127999999999999))"
490,POINT (-37.815 -7.103),"POLYGON ((-37.839999999999996 -7.128, -37.79 -7.128, -37.79 -7.077999999999999, -37.839999999999996 -7.077999999999999, -37.839999999999996 -7.128))",Coremas,"POLYGON ((-37.839999999999996 -7.077999999999999, -37.79 -7.077999999999999, -37.79 -7.128, -37.839999999999996 -7.128, -37.839999999999996 -7.077999999999999))"
491,POINT (-37.815 -7.053),"POLYGON ((-37.839999999999996 -7.078, -37.79 -7.078, -37.79 -7.028, -37.839999999999996 -7.028, -37.839999999999996 -7.078))",Coremas,"POLYGON ((-37.839999999999996 -7.028, -37.79 -7.028, -37.79 -7.078, -37.839999999999996 -7.078, -37.839999999999996 -7.028))"
492,POINT (-37.815 -7.003),"POLYGON ((-37.839999999999996 -7.0280000000000005, -37.79 -7.0280000000000005, -37.79 -6.978, -37.839999999999996 -6.978, -37.839999999999996 -7.0280000000000005))",Cajazeirinhas,"POLYGON ((-37.839999999999996 -6.978, -37.79 -6.978, -37.79 -7.0280000000000005, -37.839999999999996 -7.0280000000000005, -37.839999999999996 -6.978))"
493,POINT (-37.815 -6.953),"POLYGON ((-37.839999999999996 -6.978000000000001, -37.79 -6.978000000000001, -37.79 -6.928, -37.839999999999996 -6.928, -37.839999999999996 -6.978000000000001))",Cajazeirinhas,"POLYGON ((-37.839999999999996 -6.928, -37.79 -6.928, -37.79 -6.978000000000001, -37.839999999999996 -6.978000000000001, -37.839999999999996 -6.928))"
494,POINT (-37.815 -6.903),"POLYGON ((-37.839999999999996 -6.928, -37.79 -6.928, -37.79 -6.877999999999999, -37.839999999999996 -6.877999999999999, -37.839999999999996 -6.928))",Cajazeirinhas,"POLYGON ((-37.839999999999996 -6.877999999999999, -37.79 -6.877999999999999, -37.79 -6.928, -37.839999999999996 -6.928, -37.839999999999996 -6.877999999999999))"
495,POINT (-37.815 -6.853),"POLYGON ((-37.839999999999996 -6.878, -37.79 -6.878, -37.79 -6.827999999999999, -37.839999999999996 -6.827999999999999, -37.839999999999996 -6.878))",Cajazeirinhas,"POLYGON ((-37.839999999999996 -6.827999999999999, -37.79 -6.827999999999999, -37.79 -6.878, -37.839999999999996 -6.878, -37.839999999999996 -6.827999999999999))"
496,POINT (-37.815 -6.803),"POLYGON ((-37.839999999999996 -6.828, -37.79 -6.828, -37.79 -6.778, -37.839999999999996 -6.778, -37.839999999999996 -6.828))",Pombal,"POLYGON ((-37.839999999999996 -6.778, -37.79 -6.778, -37.79 -6.828, -37.839999999999996 -6.828, -37.839999999999996 -6.778))"
497,POINT (-37.815 -6.753),"POLYGON ((-37.839999999999996 -6.7780000000000005, -37.79 -6.7780000000000005, -37.79 -6.728, -37.839999999999996 -6.728, -37.839999999999996 -6.7780000000000005))",Pombal,"POLYGON ((-37.839999999999996 -6.728, -37.79 -6.728, -37.79 -6.7780000000000005, -37.839999999999996 -6.7780000000000005, -37.839999999999996 -6.728))"
