;center_point;envelope
62;POINT (-38.57498999999785 -7.112539999998754);POLYGON ((-38.59998999999786 -7.137539999998754, -38.59998999999786 -7.087539999998754, -38.54998999999786 -7.087539999998754, -38.54998999999786 -7.137539999998754, -38.59998999999786 -7.137539999998754))
63;POINT (-38.57498999999785 -7.062539999998753);POLYGON ((-38.59998999999786 -7.087539999998754, -38.59998999999786 -7.037539999998753, -38.54998999999786 -7.037539999998753, -38.54998999999786 -7.087539999998754, -38.59998999999786 -7.087539999998754))
64;POINT (-38.57498999999785 -7.012539999998753);POLYGON ((-38.59998999999786 -7.037539999998753, -38.59998999999786 -6.987539999998752, -38.54998999999786 -6.987539999998752, -38.54998999999786 -7.037539999998753, -38.59998999999786 -7.037539999998753))
65;POINT (-38.57498999999785 -6.962539999998753);POLYGON ((-38.59998999999786 -6.987539999998752, -38.59998999999786 -6.937539999998751, -38.54998999999786 -6.937539999998751, -38.54998999999786 -6.987539999998752, -38.59998999999786 -6.987539999998752))
66;POINT (-38.57498999999785 -6.91253999999875);POLYGON ((-38.59998999999786 -6.937539999998751, -38.59998999999786 -6.887539999998751, -38.54998999999786 -6.887539999998751, -38.54998999999786 -6.937539999998751, -38.59998999999786 -6.937539999998751))
67;POINT (-38.57498999999785 -6.86253999999875);POLYGON ((-38.59998999999786 -6.887539999998751, -38.59998999999786 -6.83753999999875, -38.54998999999786 -6.83753999999875, -38.54998999999786 -6.887539999998751, -38.59998999999786 -6.887539999998751))
68;POINT (-38.57498999999785 -6.812539999998749);POLYGON ((-38.59998999999786 -6.83753999999875, -38.59998999999786 -6.787539999998749, -38.54998999999786 -6.787539999998749, -38.54998999999786 -6.83753999999875, -38.59998999999786 -6.83753999999875))
69;POINT (-38.57498999999785 -6.76253999999875);POLYGON ((-38.59998999999786 -6.787539999998749, -38.59998999999786 -6.737539999998749, -38.54998999999786 -6.737539999998749, -38.54998999999786 -6.787539999998749, -38.59998999999786 -6.787539999998749))
70;POINT (-38.57498999999785 -6.712539999998749);POLYGON ((-38.59998999999786 -6.737539999998749, -38.59998999999786 -6.687539999998748, -38.54998999999786 -6.687539999998748, -38.54998999999786 -6.737539999998749, -38.59998999999786 -6.737539999998749))
71;POINT (-38.57498999999785 -6.662539999998748);POLYGON ((-38.59998999999786 -6.687539999998748, -38.59998999999786 -6.637539999998747, -38.54998999999786 -6.637539999998747, -38.54998999999786 -6.687539999998748, -38.59998999999786 -6.687539999998748))
